Name,SI CODE
UK_2004_302_MUDSRNI,PUBLIC HEALTH
UK_2020_706_NVOWFO,INFRASTRUCTURE PLANNING
UK_2017_1075_IRR,HEALTH AND SAFETY
UK_2012_179_CARNI,HEALTH AND SAFETY
UK_2012_112_WFCARNI,ENVIRONMENTAL PROTECTION
UK_2012_1404_RVCUAR,ROAD TRAFFIC
UK_2000_3359_EPDPBODSEWAR,ENVIRONMENTAL PROTECTION, ENGLANDAND WALES
UK_1997_251_SWAR,ENVIRONMENTAL PROTECTION
UK_2016_844_HTOWFO,INFRASTRUCTURE PLANNING
UK_2017_1285_CADEACAPLR,ELECTRONIC COMMUNICATIONS
UK_2014_2933_ABPFFQHRO,HARBOURS, DOCKS, PIERS AND FERRIES
UK_2015_1592_DBTAOWFO,INFRASTRUCTURE PLANNING
UK_2017_433_KUGSFO,INFRASTRUCTURE PLANNING
UK_2004_14_SLRA,COURTS OF LAW
UK_2021_44_FLMSACSTPR,FORESTRY
UK_2013_1506_BPCAAER,HEALTH AND SAFETY
UK_1986_1510_CPR,PESTICIDES
UK_2010_2020_PBDSCTHRO,HARBOURS, DOCKS, PIERS AND FERRIES
UK_2022_138_NVOWFO,INFRASTRUCTURE PLANNING
UK_2005_3495_SOCPACTPO,SERIOUS ORGANISED CRIME AGENCY
UK_2002_794_MAFFDO,MINISTERS OF THE CROWN
UK_2014_2384_TWULTTTO,INFRASTRUCTURE PLANNING
UK_2015_49_PACTPONI,PLANNING
UK_2002_104_CNCPCOSSO,PUBLIC HEALTH
UK_2010_265_MEDER,HEALTH AND SAFETY
UK_1994_19_LGWA,LOCAL GOVERNMENT COMMITTEES
UK_2012_632_CAR,HEALTH AND SAFETY
UK_2015_680_KPPO,INFRASTRUCTURE PLANNING
UK_2016_1025_MSMER,MERCHANT SHIPPING
UK_2000_179_PCMAHSR,TOWN AND COUNTRY PLANNING
UK_2008_18_WMMPRNI,ENVIRONMENTAL PROTECTION
UK_2006_1_CNWRNI,HEALTH AND SAFETY
UK_2008_75_WAOCONI,ENVIRONMENTAL PROTECTION
UK_2005_22_WSR,ENVIRONMENTAL PROTECTION
UK_2003_152_DSEARNI,HEALTH AND SAFETY
UK_2022_1248_MLDCO,INFRASTRUCTURE PLANNING
UK_2008_342_PMRLSR,PESTICIDES
UK_2017_826_EATOWFO,INFRASTRUCTURE PLANNING
UK_2002_282_HSWEAAEHSR,HEALTH AND SAFETY
UK_2016_297_TMGPO,INFRASTRUCTURE PLANNING
UK_2012_1914_HPHEO,HARBOURS, DOCKS, PIERS AND FERRIES
UK_2015_250_TCPHSISPSAR,TRIBUNALS AND INQUIRIES
UK_2000_2831_GMOCUR,HEALTH AND SAFETY
UK_1997_55_BRCA,LOCAL GOVERNMENT
UK_1964_40_HA,COMMUNITY GRANTS
UK_2002_2742_RVRLR,ROAD TRAFFIC
UK_1996_61_CTRLA,FAIR TRADING
UK_2019_113_CNHEESAR,CUSTOMS
UK_2020_333_ALASAAEERNI,EXITING THE EUROPEAN UNION,AQUACULTURE
UK_2018_91_WFCARNI,ENVIRONMENTAL PROTECTION
UK_2020_324_AAAHIWTEAEERNI,EXITING THE EUROPEAN UNION,AGRICULTURE, ANIMALS, AQUACULTURE
UK_2005_397_CVWRNI,HEALTH AND SAFETY
UK_2007_250_CPERSACSO,CRIMINAL LAW
UK_2013_233_TTPPMR,ENVIRONMENTAL PROTECTION
UK_2020_345_PROPWARNI,ENVIRONMENTAL PROTECTION
UK_2012_635_LAIPCAR,INFRASTRUCTURE PLANNING
UK_2013_141_WETAAER,ENVIRONMENTAL PROTECTION
UK_2014_1663_GMOCUR,HEALTH AND SAFETY
UK_2020_511_WMRFIO,INFRASTRUCTURE PLANNING
UK_1995_45_GA,GAS SUPPLY
UK_2011_2499_WETAAR,ENVIRONMENTAL PROTECTION
UK_2014_2950_WEOWFO,INFRASTRUCTURE PLANNING
UK_2002_303_CNCPCOSONI,PUBLIC HEALTH
UK_1996_47_TLATA,LEGISLATION
UK_2003_1900_CACO,BROADCASTING
UK_2012_192_BRNI,BUILDING REGULATIONS
UK_2016_401_WFCARNI,ENVIRONMENTAL PROTECTION
UK_2001_869_TACO,TRANSPORT
UK_2001_1805_WCISO,COUNTRYSIDE
UK_2015_1376_CDLO,MINISTERS OF THE CROWN
UK_2016_721_DGHAR,HEALTH AND SAFETY
UK_2008_413_PROPWAR,ENVIRONMENTAL PROTECTION
UK_2007_3476_WAPMAR,ENVIRONMENTAL PROTECTION
UK_2002_2306_PRACO,POLICE
UK_2011_215_WNEACONI,WILDLIFE
